MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,SaleType,SaleCondition,SalePrice,SalePrice_log,NumberBath
RL,65.0,8450,None,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,2003,2003,VinylSd,VinylSd,BrkFace,196,4,PConc,4,3,No,GLQ,706,Unf,150,856,5,Y,SBrkr,856,854,1710,3,4,8,0,0,Attchd,2003,RFn,2,3,Y,0,61,None,WD,Normal,208500,12.24769911637256,2.5
RL,80.0,9600,None,Reg,Lvl,FR2,Veenker,1Fam,1Story,6,1976,1976,MetalSd,MetalSd,None,0,3,CBlock,4,3,Gd,ALQ,978,Unf,284,1262,5,Y,SBrkr,1262,0,1262,3,3,6,1,3,Attchd,1976,RFn,2,3,Y,298,0,None,WD,Normal,181500,12.109016442313738,2.0
RL,68.0,11250,None,IR1,Lvl,Inside,CollgCr,1Fam,2Story,7,2001,2002,VinylSd,VinylSd,BrkFace,162,4,PConc,4,3,Mn,GLQ,486,Unf,434,920,5,Y,SBrkr,920,866,1786,3,4,6,1,3,Attchd,2001,RFn,2,3,Y,0,42,None,WD,Normal,223500,12.317171167298682,2.5
RL,60.0,9550,None,IR1,Lvl,Corner,Crawfor,1Fam,2Story,7,1915,1970,Wd Sdng,Wd Shng,None,0,3,BrkTil,3,4,No,ALQ,216,Unf,540,756,4,Y,SBrkr,961,756,1717,3,4,7,1,4,Detchd,1998,Unf,3,3,Y,0,35,None,WD,Abnorml,140000,11.849404844423074,1.0
RL,84.0,14260,None,IR1,Lvl,FR2,NoRidge,1Fam,2Story,8,2000,2000,VinylSd,VinylSd,BrkFace,350,4,PConc,4,3,Av,GLQ,655,Unf,490,1145,5,Y,SBrkr,1145,1053,2198,4,4,9,1,3,Attchd,2000,RFn,3,3,Y,192,84,None,WD,Normal,250000,12.429220196836383,2.5
RL,85.0,14115,None,IR1,Lvl,Inside,Mitchel,1Fam,1.5Fin,5,1993,1995,VinylSd,VinylSd,None,0,3,Wood,4,3,No,GLQ,732,Unf,64,796,5,Y,SBrkr,796,566,1362,1,3,5,0,0,Attchd,1993,Unf,2,3,Y,40,30,MnPrv,WD,Normal,143000,11.870606902224587,1.5
RL,75.0,10084,None,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,2004,2005,VinylSd,VinylSd,Stone,186,4,PConc,5,3,Av,GLQ,1369,Unf,317,1686,5,Y,SBrkr,1694,0,1694,3,4,7,1,4,Attchd,2004,RFn,2,3,Y,255,57,None,WD,Normal,307000,12.634606283893019,2.0
RL,80.0,10382,None,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,1973,1973,HdBoard,HdBoard,Stone,240,3,CBlock,4,3,Mn,ALQ,859,BLQ,216,1107,5,Y,SBrkr,1107,983,2090,3,3,7,2,3,Attchd,1973,RFn,2,3,Y,235,204,None,WD,Normal,200000,12.206077645517674,2.5
RM,51.0,6120,None,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,7,1931,1950,BrkFace,Wd Shng,None,0,3,BrkTil,3,3,No,Unf,0,Unf,952,952,4,Y,FuseF,1022,752,1774,2,3,8,2,3,Detchd,1931,Unf,2,2,Y,90,0,None,WD,Abnorml,129900,11.774527900858468,2.0
RL,50.0,7420,None,Reg,Lvl,Corner,BrkSide,2fmCon,1.5Unf,5,1939,1950,MetalSd,MetalSd,None,0,3,BrkTil,3,3,No,GLQ,851,Unf,140,991,5,Y,SBrkr,1077,0,1077,2,3,5,2,3,Attchd,1939,RFn,1,4,Y,0,4,None,WD,Normal,118000,11.678448377988165,1.0
